category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Leg Linkage Mechanism,servo-motors,Servo Motors,12,"180 degrees, 35kg (Approx 49.5x20,2x40mm)",https://s.click.aliexpress.com/e/_c3oYCwzH,https://geni.us/niJrcJn,,,https://s.click.aliexpress.com/e/_c3oYCwzH | https://geni.us/niJrcJn
Leg Linkage Mechanism,raspberry-pi-4-model-b,Raspberry Pi 4 Model B,1,8gb Ram,https://s.click.aliexpress.com/e/_c3vHe6u7,https://geni.us/j51XYY,,,https://s.click.aliexpress.com/e/_c3vHe6u7 | https://geni.us/j51XYY
Leg Linkage Mechanism,lipo-battery,LiPo Battery,1,4000mAh 4S 45~90C Lipo Pack w/XT-90 (You can change to the XT-90 connect later),https://s.click.aliexpress.com/e/_c3RFa1Cf,https://geni.us/4H2lJ,,,https://s.click.aliexpress.com/e/_c3RFa1Cf | https://geni.us/4H2lJ
Leg Linkage Mechanism,imu,IMU,1,Integrated Measuring Unit,https://s.click.aliexpress.com/e/_c3RY5ql9,https://geni.us/GV5tKTw,,https://core-electronics.com.au/speaker-pcb-mount.html,https://s.click.aliexpress.com/e/_c3RY5ql9 | https://geni.us/GV5tKTw | https://core-electronics.com.au/speaker-pcb-mount.html
Leg Linkage Mechanism,raspberry-pi-breakout-board,Raspberry Pi Breakout Board,1,Made by Dfrobot,https://s.click.aliexpress.com/e/_c3qH7iyL,https://geni.us/MbTbrQP,,,https://s.click.aliexpress.com/e/_c3qH7iyL | https://geni.us/MbTbrQP
Leg Linkage Mechanism,fan,Fan,2,,https://s.click.aliexpress.com/e/_c2yKau2J,https://geni.us/bTXZ0,,,https://s.click.aliexpress.com/e/_c2yKau2J | https://geni.us/bTXZ0
Leg Linkage Mechanism,servo-driver-pca9685,Servo Driver PCA9685,1,"To control servo motors, via I2C interface",https://s.click.aliexpress.com/e/_c4WSVNR5,https://geni.us/AAHBTxq,,,https://s.click.aliexpress.com/e/_c4WSVNR5 | https://geni.us/AAHBTxq
Leg Linkage Mechanism,arduino-nano,Arduino Nano,1,"For IMU, Battery sensing, LCD screen",https://s.click.aliexpress.com/e/_c4lOubMf,https://geni.us/aKQfQgw,,,https://s.click.aliexpress.com/e/_c4lOubMf | https://geni.us/aKQfQgw
Leg Linkage Mechanism,dc-to-dc-buck-converter-20a,DC to DC (Buck) converter 20A,1,"Adjustable, set to ~7V in Dingo",https://s.click.aliexpress.com/e/_c2xxpYsF,https://geni.us/TxDhP,,,https://s.click.aliexpress.com/e/_c2xxpYsF | https://geni.us/TxDhP
Leg Linkage Mechanism,power-distribution-pcb,Power Distribution PCB,1,Make sure to chose PCB + Assembly,https://www.pcbway.com/project/shareproject/Quadruped_PCB_v1_0_3a5d3450.html,,,,https://www.pcbway.com/project/shareproject/Quadruped_PCB_v1_0_3a5d3450.html
